license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
467,Atonide-H Cream,HYDROCORTISONE,DB00741,exostosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,"leukemia, lymphocytic, susceptibility to",TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,pneumonitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,mycosis fungoides and variants,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,familial nephrotic syndrome,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Hodgkins lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Hodgkin's paragranuloma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Diamond-Blackfan anemia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,blepharoconjunctivitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,acquired thrombocytopenia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,chronic beryllium disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,chronic cutaneous lupus erythematosus,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,iris disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,"classic Hodgkin lymphoma, lymphocyte-rich type",TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,exfoliative dermatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,iridocyclitis (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,rheumatic heart disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,nephrotic syndrome,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,fetal erythroblastosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,mantle cell lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,tendinitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,tenosynovitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,autoimmune thrombocytopenic,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,periarthritis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,uveitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,lupus erythematosus,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,chondrocalcinosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,erythema multiforme,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,tinea corporis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,tinea pedis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,congenital adrenal hyperplasia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,systemic lupus erythematosus (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,precursor T-cell acute lymphoblastic leukemia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,otitis externa,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Trichinellosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,brain edema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,obsolete Hodgkin's granuloma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,thyroiditis (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,primary cutaneous T-cell lymphoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,pulmonary eosinophilia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,disease of orbital region,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,proctitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,rosacea,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,malignant otitis externa caused by Pseudomonas aeruginosa,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,exanthem (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,inflammatory bowel disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,dermatophytosis of groin and perianal area,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,iritis (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,acute lymphoblastic/lymphocytic leukemia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,adrenogenital syndrome,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,granuloma annulare,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,multiple sclerosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,autoimmune hemolytic anemia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,angioedema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,Stevens-Johnson syndrome,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,vasomotor rhinitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,autoimmune disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,seborrheic dermatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,external ear disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,lichen disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,neurodermatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,musculoskeletal system disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,corneal ulcer,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,discoid lupus erythematosus,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,familial adrenal hypoplasia with absent pituitary luteinizing hormone,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,trichinosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,serum sickness,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,atopic conjunctivitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,B-cell neoplasm,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,idiopathic uveitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,dermatitis herpetiformis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,allergic asthma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,vernal conjunctivitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,lipoid nephrosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,seborrheic keratosis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,"lymphoma, non-Hodgkin, familial",TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,asthma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,psoriasis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,ciliary body disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,pemphigus,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,granulomatous slack skin disease,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,rheumatoid arthritis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,ulcerative colitis (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,infectious anterior uveitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,lymphosarcoma,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,inherited aplastic anemia,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,acne (disease),TxGNN Knowledge Graph
